"Line" "Population" "Treatment" "Setup" "Sex" "Embryo" "Total_Flies" "Dates" "Counts"
"72" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.15" 0
"73" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.16" 0
"74" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.17" 0
"75" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.18" 0
"76" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.19" 0
"77" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.20" 0
"78" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.21" 0
"79" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.22" 0
"80" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.23" 0
"81" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.24" 0
"82" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.25" 0
"83" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.26" 0
"84" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.27" 0
"85" 5 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.28" 0
"86" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.12" 2
"87" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.13" 5
"88" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.14" 0
"89" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.15" 0
"90" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.16" 0
"91" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.17" 0
"92" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.18" 0
"93" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.19" 0
"94" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.20" 0
"95" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.21" 0
"96" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.22" 0
"97" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.23" 0
"98" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.24" 0
"99" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.25" 0
"100" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.26" 0
"101" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.27" 0
"102" 5 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.28" 0
"103" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.12" 0
"104" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.13" 0
"105" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.14" 0
"106" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.15" 1
"107" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.16" 1
"108" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.17" 3
"109" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.18" 2
"110" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.19" 0
"111" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.20" 0
"112" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.21" 0
"113" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.22" 0
"114" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.23" 0
"115" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.24" 0
"116" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.25" 0
"117" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.26" 0
"118" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.27" 0
"119" 6 "9C" "10mM" "2021-12-01" "M" 25 7 "X2021.12.28" 0
"120" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.12" 0
"121" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.13" 0
